Data File Name,2100 expert_DNA 12000_DE13806110_2016-10-04_12-15-01.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2016-10-04
Date Created,"Tuesday, October 04, 2016 4:15:00 PM"
Date Last Modified,"Tuesday, October 04, 2016 4:50:02 PM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,12
 
Sample Name,Sample 3
Number of Events,1581
 
Time,Value
20,-3.582764E-02
20.05,-3.582764E-02
20.1,-3.582764E-02
20.15,-3.582764E-02
20.2,-3.582764E-02
20.25,-3.582764E-02
20.3,-3.582764E-02
20.35,-3.582764E-02
20.4,-3.582764E-02
20.45,-3.582764E-02
20.5,-3.582764E-02
20.55,-3.582764E-02
20.6,-3.582764E-02
20.65,-3.582764E-02
20.7,-3.582764E-02
20.75,-3.582764E-02
20.8,-3.582764E-02
20.85,-3.582764E-02
20.9,-3.582764E-02
20.95,-3.582764E-02
21,-8.892141E-02
21.05,-0.1688574
21.1,-0.3720871
21.15,-0.4894059
21.2,-0.4341611
21.25,-0.5175392
21.3,-0.4855366
21.35,-0.3363387
21.4,-0.1854939
21.45,-9.096715E-02
21.5,-5.698369E-02
21.55,-7.887698E-02
21.6,-0.140575
21.65,-0.2073729
21.7,-0.1446424
21.75,0.0484552
21.8,5.946603E-02
21.85,0.1502545
21.9,0.2306904
21.95,0.180861
22,4.974414E-02
22.05,-4.607525E-02
22.1,-0.1052164
22.15,-0.2084433
22.2,-0.3598734
22.25,-0.4761686
22.3,-0.5188636
22.35,-0.567088
22.4,-0.4816259
22.45,-0.3821999
22.5,-0.2146576
22.55,-0.1056696
22.6,-9.068017E-02
22.65,-0.1061555
22.7,-0.1008842
22.75,-0.121401
22.8,-0.1866735
22.85,-0.2464937
22.9,-0.388539
22.95,-0.4184722
23,-0.394739
23.05,-0.4490414
23.1,-0.3990722
23.15,-0.2601359
23.2,-0.1164733
23.25,-4.316564E-02
23.3,-6.066634E-02
23.35,-5.946103E-02
23.4,3.270047E-02
23.45,0.1250063
23.5,0.1379641
23.55,0.1397326
23.6,0.1661196
23.65,-4.060126E-02
23.7,-0.2941798
23.75,-0.5785965
23.8,-0.4475007
23.85,-0.2332939
23.9,-0.1305591
23.95,-0.0647731
24,4.195759E-03
24.05,1.708626E-02
24.1,-7.047466E-02
24.15,-0.2802259
24.2,-0.4642487
24.25,-0.4007881
24.3,-0.5688738
24.35,-0.671886
24.4,-0.6371315
24.45,-0.5556474
24.5,-0.4754657
24.55,-0.3791683
24.6,-0.1927411
24.65,0.0903824
24.7,0.3301852
24.75,0.3935035
24.8,0.3414467
24.85,0.1108386
24.9,-2.639447E-02
24.95,-0.1902737
25,-0.2631541
25.05,-0.3285242
25.1,-0.4113758
25.15,-0.4213713
25.2,-0.3504569
25.25,-0.2980554
25.3,-0.2180979
25.35,-6.259649E-03
25.4,0.1705664
25.45,0.261205
25.5,0.1564371
25.55,0.103617
25.6,-0.127235
25.65,-0.3773352
25.7,-0.638136
25.75,-0.6822931
25.8,-0.5230616
25.85,-0.3776186
25.9,-0.3273355
25.95,-0.2899505
26,-0.2730041
26.05,-0.3547032
26.1,-0.3650657
26.15,-0.5112589
26.2,-0.4677362
26.25,-0.4725282
26.3,-0.6035612
26.35,-0.6152785
26.4,-0.5441538
26.45,-0.4346755
26.5,-0.2861931
26.55,-0.1041802
26.6,0.1064985
26.65,0.2847803
26.7,0.2242746
26.75,6.299981E-02
26.8,-0.182679
26.85,-0.4799992
26.9,-0.4957347
26.95,-0.405772
27,-0.4043665
27.05,-0.3921877
27.1,-0.249198
27.15,-2.818631E-02
27.2,0.1241253
27.25,0.1554434
27.3,0.1294129
27.35,8.853076E-03
27.4,-0.2863982
27.45,-0.6538614
27.5,-0.6404657
27.55,-0.5058618
27.6,-0.3828562
27.65,-0.354522
27.7,-0.3285263
27.75,-0.3140163
27.8,-0.2731118
27.85,-0.2056389
27.9,-0.2255018
27.95,-0.1458555
28,-1.498452E-02
28.05,-4.993094E-02
28.1,-0.1756883
28.15,-8.134064E-02
28.2,-9.261224E-02
28.25,-0.1334555
28.3,-0.2907075
28.35,-0.3996367
28.4,-0.3692546
28.45,-0.2712981
28.5,-0.1318089
28.55,7.934058E-02
28.6,0.3025541
28.65,0.3883093
28.7,0.4041461
28.75,0.2270655
28.8,-6.311757E-03
28.85,-0.1308634
28.9,-0.2039291
28.95,-0.3067002
29,-0.2618811
29.05,-7.561429E-02
29.1,6.425486E-02
29.15,0.1113107
29.2,8.019328E-02
29.25,3.382131E-02
29.3,-0.1123117
29.35,-0.3628198
29.4,-0.5265486
29.45,-0.3877867
29.5,-0.3142695
29.55,-0.2444471
29.6,-0.1181744
29.65,-4.369315E-03
29.7,2.197897E-02
29.75,-3.702407E-03
29.8,-1.417147E-02
29.85,-5.255362E-02
29.9,-2.850866E-02
29.95,-0.1776444
30,-0.1166104
30.05,-6.183771E-02
30.1,-2.985215E-02
30.15,-5.995587E-02
30.2,-9.834804E-02
30.25,-0.2113361
30.3,-0.3129537
30.35,-0.3617781
30.4,-0.3700339
30.45,-0.1528555
30.5,8.906052E-02
30.55,0.2323514
30.6,0.2813233
30.65,0.133016
30.7,-0.1616104
30.75,-0.2510239
30.8,-0.3785203
30.85,-0.3640037
30.9,-0.2397947
30.95,-8.786862E-02
31,6.489684E-02
31.05,0.1289827
31.1,0.1389973
31.15,5.424473E-02
31.2,-2.118991E-02
31.25,-0.178498
31.3,-0.1397306
31.35,-0.0996242
31.4,-7.603548E-02
31.45,-0.1481149
31.5,-0.1799092
31.55,-0.2162597
31.6,-0.1789887
31.65,4.437447E-02
31.7,0.214537
31.75,0.3017069
31.8,0.3118792
31.85,0.4000847
31.9,0.3781542
31.95,0.2644505
32,6.080266E-02
32.05,-5.226682E-02
32.1,-0.1141079
32.15,-0.1112756
32.2,-9.491105E-02
32.25,-5.158627E-02
32.3,0.0857465
32.35,0.1846725
32.4,0.2538522
32.45,0.2064937
32.5,0.3180637
32.55,0.3649758
32.6,0.2515208
32.65,3.750118E-02
32.7,1.845562E-02
32.75,5.004419E-02
32.8,0.0644339
32.85,7.171867E-02
32.9,0.1392137
32.95,0.3576553
33,0.5569288
33.05,0.7202355
33.1,0.7580215
33.15,0.8546901
33.2,0.7122391
33.25,0.6591695
33.3,0.5437963
33.35,0.5267824
33.4,0.6268759
33.45,0.78238
33.5,1.004377
33.55,1.30821
33.6,1.586676
33.65,1.706313
33.7,1.774818
33.75,1.657136
33.8,1.681235
33.85,1.924286
33.9,2.243439
33.95,2.440711
34,2.569386
34.05,2.721073
34.1,2.910312
34.15,3.126348
34.2,3.382905
34.25,3.707868
34.3,4.158418
34.35,4.781373
34.4,6.306176
34.45,10.04782
34.5,16.24416
34.55,26.06747
34.6,39.91748
34.65,57.89871
34.7,79.81287
34.75,104.6796
34.8,130.9269
34.85,156.8139
34.9,179.9795
34.95,197.1774
35,205.9671
35.05,202.8853
35.1,189.5494
35.15,167.845
35.2,140.4965
35.25,111.5513
35.3,84.68616
35.35,62.02546
35.4,44.49839
35.45,32.12715
35.5,23.97981
35.55,19.05551
35.6,16.16171
35.65,14.35156
35.7,13.39109
35.75,13.02104
35.8,12.99585
35.85,13.17036
35.9,13.3503
35.95,13.80604
36,14.51624
36.05,15.15731
36.1,15.68591
36.15,16.23167
36.2,16.88379
36.25,17.52291
36.3,17.90353
36.35,18.2529
36.4,18.84712
36.45,19.06491
36.5,19.34084
36.55,19.73945
36.6,20.1196
36.65,20.42576
36.7,20.68151
36.75,20.95501
36.8,21.34039
36.85,21.83736
36.9,22.17945
36.95,22.58722
37,22.62306
37.05,22.66903
37.1,22.66104
37.15,22.55121
37.2,22.46258
37.25,22.46556
37.3,22.59364
37.35,22.83318
37.4,23.04393
37.45,23.25712
37.5,23.59763
37.55,23.43783
37.6,23.56747
37.65,23.62102
37.7,23.76041
37.75,23.81572
37.8,23.78032
37.85,23.82117
37.9,23.93929
37.95,24.03599
