Time,Value
35.75,8.603007
35.8,8.70225
35.85,8.845063
35.9,9.076905
35.95,9.241757
36,9.517117
36.05,10.04301
36.1,10.59593
36.15,11.00834
36.2,11.42228
36.25,11.75136
36.3,11.87369
36.35,11.97672
36.4,11.88515
36.45,12.22957
36.5,12.43261
36.55,12.65668
36.6,12.95445
36.65,13.29711
36.7,13.51238
36.75,13.58719
36.8,13.59495
36.85,13.65133
36.9,13.99418
36.95,14.35264
37,14.74994
37.05,14.93747
37.1,14.872
37.15,14.42949
37.2,13.83803
37.25,13.34515
37.3,13.22532
37.35,13.39102
37.4,13.60887
37.45,13.79204
37.5,13.92156
37.55,13.887
37.6,13.66391
37.65,13.47011
37.7,13.23985
37.75,13.42061
37.8,13.51273
37.85,13.53038
37.9,13.57191
37.95,13.58825
38,13.67409
38.05,13.69659
38.1,13.55753
38.15,13.47121
38.2,13.5493
38.25,13.56631
38.3,13.67703
38.35,13.79412
38.4,13.89329
38.45,14.01408
38.5,13.89562
38.55,13.99297
38.6,14.18758
38.65,14.34941
38.7,14.44897
38.75,14.6352
38.8,14.90183
38.85,15.09826
38.9,15.14842
38.95,14.97287
39,14.75588
39.05,14.73983
39.1,14.85322
39.15,15.09743
39.2,15.40718
39.25,15.53668
39.3,15.55255
39.35,15.59098
39.4,15.6654
39.45,15.85339
39.5,15.99357
39.55,15.94791
39.6,16.05085
39.65,16.26402
39.7,16.53514
39.75,16.89128
39.8,17.26138
39.85,17.36739
39.9,17.61771
39.95,17.75112
40,17.9603
40.05,18.02352
40.1,17.98649
40.15,17.98285
40.2,18.00414
40.25,18.02054
40.3,18.06505
40.35,18.46015
40.4,18.45787
40.45,18.36752
40.5,18.64788
40.55,19.0159
40.6,19.36249
40.65,19.52942
40.7,19.46753
40.75,19.48713
40.8,19.49532
40.85,19.54422
40.9,19.85697
40.95,20.17137
41,20.42632
41.05,20.60119
41.1,20.54285
41.15,20.51684
41.2,20.64803
41.25,20.73945
41.3,21.11983
41.35,21.39884
41.4,21.59681
41.45,21.56222
41.5,21.3186
41.55,21.0924
41.6,20.9559
41.65,21.00935
41.7,21.41833
41.75,21.80642
41.8,21.81344
41.85,22.0361
41.9,22.04379
41.95,22.39105
42,22.61753
42.05,22.89799
42.1,23.01797
42.15,22.98266
42.2,22.90003
42.25,22.88766
42.3,23.09546
42.35,23.27941
42.4,23.67952
42.45,23.78519
42.5,24.28652
42.55,24.63436
42.6,24.9344
42.65,24.81156
42.7,24.72398
42.75,24.66579
42.8,24.50979
42.85,24.37761
42.9,24.52807
42.95,24.92192
43,25.1555
43.05,25.17009
43.1,25.34477
43.15,25.56014
43.2,25.46021
43.25,25.373
43.3,25.43455
43.35,25.7411
43.4,25.88798
43.45,25.82855
43.5,25.75286
43.55,25.91036
43.6,26.30627
43.65,26.73622
43.7,27.19936
43.75,27.46
43.8,27.74294
43.85,27.54425
43.9,27.4379
43.95,27.05964
44,26.98949
44.05,26.9057
44.1,27.04567
44.15,27.47094
44.2,27.90669
44.25,28.19194
44.3,28.3397
44.35,28.30899
44.4,28.2148
44.45,28.3002
44.5,27.99919
44.55,27.96979
44.6,28.01956
44.65,28.01941
44.7,28.00309
44.75,28.04405
44.8,28.12608
44.85,28.1603
44.9,28.11154
44.95,28.12996
45,28.33292
45.05,28.55912
45.1,28.84659
45.15,29.29223
45.2,29.63049
45.25,29.48134
45.3,29.45693
45.35,29.57197
45.4,29.51726
45.45,29.44473
45.5,29.56956
45.55,29.7443
45.6,29.74181
45.65,29.5473
45.7,29.392
45.75,29.6119
45.8,29.78297
45.85,29.80318
45.9,29.90351
45.95,30.02003
46,30.10977
46.05,30.22682
46.1,30.30249
46.15,30.55185
46.2,30.64959
46.25,30.55917
46.3,30.47293
46.35,30.41318
46.4,30.59834
46.45,30.96643
46.5,31.26765
46.55,31.10472
46.6,31.38663
46.65,31.21296
46.7,30.8671
46.75,30.78158
46.8,30.98888
46.85,31.23849
46.9,31.35914
46.95,31.47191
47,31.73293
47.05,31.93092
47.1,31.66477
47.15,31.1499
47.2,31.28239
47.25,31.61617
47.3,31.7339
47.35,31.87274
47.4,32.10938
47.45,32.23421
47.5,32.24192
47.55,32.1496
47.6,32.11793
47.65,32.17667
47.7,32.11933
47.75,31.90065
47.8,31.68055
47.85,31.67565
47.9,31.92817
47.95,32.09237
48,32.11667
48.05,32.13744
48.1,32.34405
48.15,32.40149
48.2,32.44577
48.25,32.65508
48.3,32.81285
48.35,32.5077
48.4,31.81402
48.45,31.36946
48.5,31.13154
48.55,31.33037
48.6,31.71083
48.65,31.98796
48.7,32.29853
48.75,32.59595
48.8,32.50006
48.85,32.71934
48.9,32.93004
48.95,32.93871
49,32.7905
49.05,32.48849
49.1,32.27495
49.15,32.04934
49.2,32.05974
49.25,32.15271
49.3,32.37776
49.35,32.38063
49.4,32.37524
49.45,32.4625
49.5,32.62428
49.55,32.57692
49.6,32.55231
49.65,32.40437
49.7,31.93046
49.75,31.39122
49.8,30.8506
49.85,30.78573
49.9,31.36086
49.95,31.92708
50,32.38936
50.05,32.72559
50.1,32.76401
50.15,32.69375
50.2,32.30971
50.25,32.05415
50.3,31.92245
50.35,31.799
50.4,31.85292
50.45,31.99217
50.5,31.97293
50.55,31.77931
50.6,31.86585
50.65,31.8499
50.7,31.93497
50.75,32.06514
50.8,32.04953
50.85,31.90292
50.9,31.61038
50.95,31.29466
51,31.36351
51.05,31.64976
51.1,31.77992
51.15,32.13186
51.2,32.30423
51.25,32.21951
51.3,32.09938
51.35,31.96329
51.4,31.87098
51.45,31.81583
51.5,31.76007
51.55,31.63327
51.6,31.24247
51.65,30.97704
51.7,31.08068
51.75,31.39249
51.8,31.80031
51.85,32.10992
51.9,32.28912
51.95,31.91806
52,31.1889
52.05,30.96251
52.1,30.65354
52.15,30.26662
52.2,30.25749
52.25,30.24425
52.3,30.19983
52.35,30.10747
52.4,30.03466
52.45,30.17291
52.5,30.31852
52.55,30.28858
52.6,30.51791
52.65,30.52402
52.7,29.83951
52.75,29.80556
52.8,29.63423
52.85,29.37051
52.9,29.25838
52.95,29.22634
53,29.19089
53.05,29.09432
53.1,29.02624
53.15,29.24383
53.2,29.6851
53.25,29.84338
53.3,29.8879
53.35,29.84651
53.4,29.42973
53.45,28.45775
53.5,28.09005
53.55,27.93033
53.6,28.01735
53.65,28.30529
53.7,28.54054
53.75,28.57391
53.8,28.57065
53.85,28.60903
53.9,28.40654
53.95,28.72485
54,28.67852
54.05,28.46713
54.1,27.83264
54.15,27.77066
54.2,27.62064
54.25,27.45937
54.3,27.37862
54.35,27.48752
54.4,27.5753
54.45,27.61362
54.5,27.80743
54.55,27.88986
54.6,27.87698
54.65,27.64084
54.7,27.39772
54.75,27.27716
54.8,27.12687
54.85,26.78257
54.9,26.85702
54.95,26.74991
55,26.4525
55.05,26.33327
55.1,26.33746
55.15,26.2816
55.2,26.29016
55.25,26.30978
55.3,26.19521
55.35,26.27226
55.4,25.61389
55.45,25.57393
55.5,25.65994
55.55,25.80372
55.6,25.60882
55.65,25.57926
55.7,25.65429
55.75,25.5314
55.8,25.1597
55.85,24.72972
